0 49
50 625
0 25 6
0 26 12
0 27 2
0 28 11
0 29 9
0 30 9
0 31 3
0 32 13
0 33 4
0 34 6
0 35 8
0 36 12
0 37 5
0 38 3
0 39 7
0 40 11
0 41 9
0 42 12
0 43 5
0 44 11
0 45 9
0 46 4
0 47 1
0 48 8
0 49 8
1 25 15
1 26 14
1 27 13
1 28 7
1 29 7
1 30 15
1 31 4
1 32 10
1 33 3
1 34 9
1 35 3
1 36 11
1 37 10
1 38 7
1 39 14
1 40 4
1 41 4
1 42 10
1 43 10
1 44 2
1 45 3
1 46 10
1 47 10
1 48 7
1 49 2
2 25 8
2 26 13
2 27 12
2 28 4
2 29 12
2 30 5
2 31 1
2 32 7
2 33 6
2 34 6
2 35 1
2 36 3
2 37 5
2 38 13
2 39 2
2 40 5
2 41 14
2 42 3
2 43 2
2 44 2
2 45 6
2 46 14
2 47 8
2 48 9
2 49 14
3 25 5
3 26 9
3 27 14
3 28 3
3 29 4
3 30 7
3 31 3
3 32 7
3 33 2
3 34 2
3 35 3
3 36 11
3 37 7
3 38 6
3 39 15
3 40 3
3 41 15
3 42 15
3 43 15
3 44 2
3 45 15
3 46 10
3 47 6
3 48 11
3 49 7
4 25 10
4 26 2
4 27 4
4 28 4
4 29 4
4 30 14
4 31 10
4 32 2
4 33 2
4 34 1
4 35 11
4 36 6
4 37 1
4 38 10
4 39 14
4 40 6
4 41 14
4 42 4
4 43 4
4 44 14
4 45 7
4 46 13
4 47 5
4 48 11
4 49 15
5 25 2
5 26 1
5 27 1
5 28 6
5 29 2
5 30 4
5 31 12
5 32 1
5 33 2
5 34 8
5 35 7
5 36 6
5 37 5
5 38 12
5 39 5
5 40 3
5 41 15
5 42 15
5 43 4
5 44 8
5 45 11
5 46 3
5 47 10
5 48 5
5 49 8
6 25 1
6 26 12
6 27 5
6 28 11
6 29 2
6 30 14
6 31 9
6 32 10
6 33 2
6 34 15
6 35 3
6 36 1
6 37 1
6 38 1
6 39 6
6 40 14
6 41 5
6 42 14
6 43 2
6 44 2
6 45 15
6 46 2
6 47 12
6 48 2
6 49 2
7 25 13
7 26 6
7 27 7
7 28 5
7 29 14
7 30 9
7 31 4
7 32 7
7 33 12
7 34 10
7 35 10
7 36 15
7 37 8
7 38 9
7 39 9
7 40 2
7 41 2
7 42 12
7 43 15
7 44 8
7 45 5
7 46 13
7 47 9
7 48 8
7 49 7
8 25 10
8 26 4
8 27 13
8 28 15
8 29 8
8 30 11
8 31 8
8 32 7
8 33 4
8 34 10
8 35 7
8 36 2
8 37 10
8 38 4
8 39 5
8 40 3
8 41 14
8 42 10
8 43 2
8 44 3
8 45 7
8 46 11
8 47 9
8 48 7
8 49 12
9 25 13
9 26 5
9 27 8
9 28 15
9 29 13
9 30 10
9 31 11
9 32 12
9 33 9
9 34 11
9 35 14
9 36 8
9 37 7
9 38 4
9 39 11
9 40 11
9 41 15
9 42 2
9 43 1
9 44 15
9 45 11
9 46 7
9 47 9
9 48 10
9 49 4
10 25 11
10 26 5
10 27 6
10 28 10
10 29 3
10 30 3
10 31 6
10 32 13
10 33 14
10 34 5
10 35 4
10 36 6
10 37 5
10 38 11
10 39 3
10 40 11
10 41 1
10 42 15
10 43 4
10 44 5
10 45 13
10 46 15
10 47 12
10 48 10
10 49 15
11 25 7
11 26 7
11 27 2
11 28 7
11 29 15
11 30 12
11 31 15
11 32 8
11 33 2
11 34 3
11 35 7
11 36 2
11 37 4
11 38 2
11 39 1
11 40 10
11 41 9
11 42 2
11 43 2
11 44 2
11 45 12
11 46 10
11 47 1
11 48 13
11 49 10
12 25 11
12 26 6
12 27 1
12 28 10
12 29 13
12 30 3
12 31 1
12 32 3
12 33 10
12 34 11
12 35 14
12 36 4
12 37 4
12 38 13
12 39 6
12 40 2
12 41 14
12 42 1
12 43 1
12 44 12
12 45 10
12 46 2
12 47 15
12 48 5
12 49 5
13 25 8
13 26 6
13 27 10
13 28 4
13 29 7
13 30 9
13 31 2
13 32 5
13 33 9
13 34 6
13 35 11
13 36 13
13 37 9
13 38 15
13 39 10
13 40 2
13 41 11
13 42 7
13 43 5
13 44 3
13 45 15
13 46 7
13 47 11
13 48 3
13 49 5
14 25 11
14 26 11
14 27 14
14 28 4
14 29 15
14 30 2
14 31 1
14 32 9
14 33 3
14 34 2
14 35 8
14 36 15
14 37 13
14 38 6
14 39 4
14 40 11
14 41 3
14 42 5
14 43 2
14 44 2
14 45 7
14 46 3
14 47 13
14 48 14
14 49 9
15 25 1
15 26 15
15 27 2
15 28 11
15 29 10
15 30 3
15 31 2
15 32 6
15 33 8
15 34 7
15 35 12
15 36 7
15 37 9
15 38 13
15 39 11
15 40 14
15 41 14
15 42 14
15 43 4
15 44 13
15 45 7
15 46 11
15 47 6
15 48 15
15 49 5
16 25 14
16 26 12
16 27 1
16 28 4
16 29 12
16 30 2
16 31 3
16 32 1
16 33 3
16 34 1
16 35 13
16 36 13
16 37 13
16 38 9
16 39 10
16 40 5
16 41 9
16 42 3
16 43 9
16 44 6
16 45 8
16 46 15
16 47 1
16 48 11
16 49 14
17 25 7
17 26 13
17 27 5
17 28 5
17 29 14
17 30 13
17 31 1
17 32 15
17 33 2
17 34 4
17 35 4
17 36 6
17 37 8
17 38 3
17 39 2
17 40 8
17 41 5
17 42 9
17 43 12
17 44 9
17 45 14
17 46 2
17 47 8
17 48 11
17 49 15
18 25 14
18 26 15
18 27 2
18 28 7
