0 199
200 19900
0 1 14
0 2 7
0 3 14
0 4 9
0 5 4
0 6 11
0 7 12
0 8 4
0 9 4
0 10 11
0 11 3
0 12 9
0 13 1
0 14 8
0 15 10
0 16 13
0 17 14
0 18 11
0 19 4
0 20 7
0 21 4
0 22 4
0 23 3
0 24 2
0 25 9
0 26 13
0 27 7
0 28 1
0 29 12
0 30 13
0 31 5
0 32 1
0 33 1
0 34 1
0 35 5
0 36 3
0 37 6
0 38 15
0 39 13
0 40 11
0 41 7
0 42 5
0 43 2
0 44 10
0 45 2
0 46 2
0 47 11
0 48 7
0 49 4
0 50 15
0 51 2
0 52 8
0 53 3
0 54 11
0 55 7
0 56 9
0 57 8
0 58 5
0 59 4
0 60 11
0 61 5
0 62 6
0 63 11
0 64 13
0 65 8
0 66 3
0 67 2
0 68 1
0 69 7
0 70 10
0 71 4
0 72 5
0 73 9
0 74 12
0 75 6
0 76 12
0 77 6
0 78 1
0 79 10
0 80 7
0 81 8
0 82 2
0 83 7
0 84 1
0 85 11
0 86 2
0 87 4
0 88 11
0 89 9
0 90 4
0 91 7
0 92 7
0 93 7
0 94 1
0 95 3
0 96 2
0 97 2
0 98 12
0 99 1
0 100 8
0 101 8
0 102 12
0 103 2
0 104 12
0 105 5
0 106 13
0 107 4
0 108 15
0 109 10
0 110 9
0 111 9
0 112 9
0 113 13
0 114 6
0 115 10
0 116 5
0 117 12
0 118 13
0 119 2
0 120 13
0 121 6
0 122 10
0 123 15
0 124 2
0 125 15
0 126 4
0 127 14
0 128 2
0 129 10
0 130 3
0 131 3
0 132 14
0 133 15
0 134 14
0 135 5
0 136 15
0 137 7
0 138 5
0 139 12
0 140 7
0 141 3
0 142 13
0 143 5
0 144 14
0 145 12
0 146 13
0 147 9
0 148 8
0 149 4
0 150 9
0 151 9
0 152 7
0 153 3
0 154 12
0 155 2
0 156 1
0 157 12
0 158 2
0 159 9
0 160 7
0 161 3
0 162 7
0 163 11
0 164 2
0 165 12
0 166 15
0 167 15
0 168 3
0 169 12
0 170 2
0 171 9
0 172 1
0 173 14
0 174 8
0 175 3
0 176 1
0 177 2
0 178 10
0 179 1
0 180 6
0 181 1
0 182 4
0 183 5
0 184 12
0 185 10
0 186 11
0 187 13
0 188 4
0 189 6
0 190 1
0 191 8
0 192 4
0 193 9
0 194 1
0 195 12
0 196 6
0 197 6
0 198 13
0 199 11
1 2 4
1 3 15
1 4 6
1 5 11
1 6 3
1 7 7
1 8 13
1 9 12
1 10 5
1 11 10
1 12 2
1 13 10
1 14 7
1 15 13
1 16 13
1 17 14
1 18 11
1 19 7
1 20 1
1 21 3
1 22 12
1 23 13
1 24 7
1 25 5
1 26 10
1 27 5
1 28 3
1 29 4
1 30 13
1 31 7
1 32 10
1 33 13
1 34 5
1 35 11
1 36 3
1 37 14
1 38 11
1 39 9
1 40 12
1 41 14
1 42 12
1 43 13
1 44 13
1 45 9
1 46 5
1 47 6
1 48 1
1 49 2
1 50 9
1 51 15
1 52 12
1 53 5
1 54 14
1 55 4
1 56 9
1 57 12
1 58 10
1 59 5
1 60 11
1 61 12
1 62 6
1 63 12
1 64 14
1 65 13
1 66 10
1 67 15
1 68 10
1 69 14
1 70 6
1 71 2
1 72 9
1 73 1
1 74 13
1 75 14
1 76 9
1 77 8
1 78 6
1 79 3
1 80 12
1 81 5
1 82 15
1 83 10
1 84 2
1 85 7
1 86 2
1 87 7
1 88 2
1 89 7
1 90 1
1 91 5
1 92 13
1 93 11
1 94 12
1 95 15
1 96 11
1 97 4
1 98 11
1 99 2
1 100 5
1 101 15
1 102 12
1 103 13
1 104 12
1 105 4
1 106 5
1 107 14
1 108 2
1 109 5
1 110 5
1 111 5
1 112 15
1 113 1
1 114 2
1 115 6
1 116 8
1 117 4
1 118 9
1 119 1
1 120 13
1 121 15
1 122 14
1 123 12
1 124 12
1 125 14
1 126 11
1 127 12
1 128 5
1 129 1
1 130 15
1 131 8
1 132 3
1 133 4
1 134 15
1 135 10
1 136 7
1 137 8
1 138 14
1 139 13
1 140 15
1 141 13
1 142 2
1 143 10
1 144 7
1 145 4
1 146 8
1 147 3
1 148 6
1 149 7
1 150 10
1 151 8
1 152 4
1 153 2
1 154 8
1 155 2
1 156 3
1 157 11
1 158 8
1 159 11
1 160 11
1 161 2
1 162 5
1 163 12
1 164 15
1 165 11
1 166 9
1 167 13
1 168 14
1 169 3
1 170 10
1 171 3
1 172 13
1 173 8
1 174 6
1 175 10
1 176 14
1 177 7
1 178 15
1 179 4
1 180 6
1 181 6
1 182 4
1 183 7
1 184 5
1 185 6
1 186 11
1 187 11
1 188 5
1 189 12
1 190 14
1 191 6
1 192 13
1 193 10
1 194 4
1 195 5
1 196 3
1 197 10
1 198 12
1 199 9
2 3 4
2 4 10
2 5 12
2 6 4
2 7 14
2 8 14
2 9 2
2 10 7
2 11 13
2 12 3
2 13 15
2 14 3
2 15 3
2 16 11
2 17 11
2 18 2
2 19 13
2 20 12
2 21 11
2 22 12
2 23 11
2 24 2
2 25 14
2 26 8
2 27 2
2 28 10
2 29 8
2 30 7
2 31 4
2 32 4
2 33 8
2 34 10
2 35 3
2 36 15
2 37 8
2 38 9
2 39 7
2 40 6
2 41 15
2 42 15
2 43 2
2 44 13
2 45 13
2 46 10
2 47 10
2 48 14
2 49 4
2 50 7
2 51 13
2 52 5
2 53 12
2 54 5
2 55 8
2 56 11
2 57 9
2 58 14
2 59 12
2 60 13
2 61 2
2 62 13
2 63 5
2 64 12
2 65 5
2 66 5
2 67 9
2 68 1
2 69 9
2 70 8
2 71 4
2 72 6
2 73 7
2 74 4
2 75 11
2 76 13
2 77 8
2 78 6
2 79 10
2 80 9
2 81 8
2 82 15
2 83 11
2 84 5
2 85 5
2 86 7
2 87 7
2 88 11
2 89 8
2 90 6
2 91 15
2 92 13
2 93 8
2 94 15
2 95 5
2 96 3
2 97 13
2 98 10
2 99 11
2 100 1
2 101 5
2 102 5
2 103 12
2 104 12
2 105 6
2 106 10
2 107 5
2 108 7
2 109 10
2 110 7
2 111 8
2 112 8
2 113 9
2 114 12
2 115 6
2 116 11
2 117 9
2 118 1
2 119 9
2 120 7
2 121 8
2 122 2
2 123 11
2 124 9
2 125 10
2 126 6
2 127 14
2 128 13
2 129 5
2 130 2
2 131 6
2 132 15
2 133 7
2 134 1
2 135 11
2 136 8
2 137 10
2 138 4
2 139 3
2 140 3
2 141 9
2 142 15
2 143 12
2 144 7
2 145 5
2 146 15
2 147 6
2 148 3
2 149 11
2 150 5
2 151 7
2 152 7
2 153 9
2 154 7
2 155 6
2 156 1
2 157 8
2 158 5
2 159 9
2 160 15
2 161 12
2 162 12
2 163 14
2 164 13
2 165 10
2 166 7
2 167 8
2 168 14
2 169 13
2 170 2
2 171 4
2 172 7
2 173 5
2 174 5
2 175 6
2 176 15
2 177 5
2 178 7
2 179 11
2 180 10
2 181 15
2 182 13
2 183 4
2 184 7
2 185 12
2 186 6
2 187 15
2 188 10
2 189 9
2 190 2
2 191 3
2 192 3
2 193 3
2 194 7
2 195 4
2 196 9
2 197 3
2 198 15
2 199 3
3 4 10
3 5 2
3 6 7
3 7 13
3 8 11
3 9 7
3 10 3
3 11 10
3 12 5
3 13 9
3 14 1
3 15 8
3 16 8
3 17 15
3 18 14
3 19 6
3 20 7
3 21 4
3 22 3
3 23 15
3 24 11
3 25 4
3 26 14
3 27 10
3 28 1
3 29 9
3 30 3
3 31 8
3 32 3
3 33 11
3 34 13
3 35 13
3 36 12
3 37 2
3 38 13
3 39 2
3 40 15
3 41 11
3 42 8
3 43 6
3 44 7
3 45 11
3 46 1
3 47 1
3 48 3
3 49 6
3 50 10
3 51 2
3 52 13
3 53 14
3 54 7
3 55 12
3 56 2
3 57 2
3 58 11
3 59 14
3 60 15
3 61 9
3 62 5
3 63 8
3 64 2
3 65 3
3 66 1
3 67 4
3 68 10
3 69 2
3 70 15
3 71 13
3 72 1
3 73 8
3 74 15
3 75 10
3 76 2
3 77 12
3 78 14
3 79 3
3 80 8
3 81 7
3 82 4
3 83 4
3 84 15
3 85 10
3 86 14
3 87 12
3 88 15
3 89 11
3 90 11
3 91 15
3 92 4
3 93 10
3 94 13
3 95 3
3 96 12
3 97 1
3 98 13
3 99 15
3 100 12
3 101 12
3 102 1
3 103 2
3 104 10
3 105 5
3 106 9
3 107 5
3 108 6
3 109 2
3 110 11
3 111 3
3 112 3
3 113 3
3 114 10
3 115 1
3 116 15
3 117 5
3 118 9
3 119 15
3 120 7
3 121 12
3 122 4
3 123 7
3 124 15
3 125 1
3 126 6
3 127 11
3 128 5
3 129 5
3 130 5
3 131 3
3 132 4
3 133 4
3 134 15
3 135 1
3 136 2
3 137 13
3 138 1
3 139 14
3 140 10
3 141 15
3 142 6
3 143 12
3 144 13
3 145 10
3 146 1
3 147 10
3 148 14
3 149 9
3 150 9
3 151 9
3 152 15
3 153 14
3 154 6
3 155 7
3 156 10
3 157 12
3 158 7
3 159 9
3 160 15
3 161 15
3 162 11
3 163 12
3 164 13
3 165 1
3 166 12
3 167 9
3 168 12
3 169 2
3 170 4
3 171 5
3 172 6
3 173 10
3 174 10
3 175 11
3 176 8
3 177 8
3 178 12
3 179 14
3 180 1
3 181 12
3 182 12
3 183 11
3 184 11
3 185 13
3 186 8
3 187 10
3 188 10
3 189 9
3 190 8
3 191 2
3 192 7
3 193 14
3 194 4
3 195 5
3 196 6
3 197 4
3 198 9
3 199 10
4 5 11
4 6 12
4 7 1
4 8 5
4 9 5
4 10 1
4 11 5
4 12 5
4 13 1
4 14 6
4 15 7
4 16 11
4 17 4
4 18 5
4 19 9
4 20 6
4 21 14
4 22 4
4 23 6
4 24 7
4 25 6
4 26 5
4 27 9
4 28 6
4 29 1
4 30 4
4 31 2
4 32 8
4 33 8
4 34 9
4 35 8
4 36 10
4 37 5
4 38 10
4 39 9
4 40 2
4 41 14
4 42 11
4 43 13
4 44 6
4 45 12
4 46 4
4 47 3
4 48 14
4 49 9
4 50 14
4 51 15
4 52 2
4 53 6
4 54 11
4 55 3
4 56 11
4 57 7
4 58 15
4 59 9
4 60 11
4 61 3
4 62 6
4 63 2
4 64 1
4 65 13
4 66 10
4 67 7
4 68 5
4 69 11
4 70 8
4 71 1
4 72 2
4 73 15
4 74 9
4 75 2
4 76 5
4 77 12
4 78 14
4 79 12
4 80 8
